TICKER.EXCHANGECODE,TICKER,EXCHANGECODE,ASK,BID,AVG,SUPPLY,DEMAND,TRADED
GIN.PP30D_UNIVERSE,GIN,PP30D_UNIVERSE,,,1593.4449241138532,,,333.0
HCC.PP7D_UNIVERSE,HCC,PP7D_UNIVERSE,,,749.0391873319389,,,120.0
S.PP7D_NC2,S,PP7D_NC2,,,145.0,,,0.0
AAR.PP30D_AI1,AAR,PP30D_AI1,,,15913.233953488372,,,10.0
SAL.PP7D_AI1,SAL,PP7D_AI1,,,9197.374285714284,,,8.0
ACS.PP7D_CI1,ACS,PP7D_CI1,,,140000.0,,,0.0
ADR.PP7D_AI1,ADR,PP7D_AI1,,,81000.0,,,0.0
HSS.PP7D_NC1,HSS,PP7D_NC1,,,2177.1285621269667,,,263.0
KRE.PP7D_NC2,KRE,PP7D_NC2,,,15410.62,,,0.0
LCB.PP30D_NC1,LCB,PP30D_NC1,,,731494.791875,,,1.0
LES.PP7D_CI1,LES,PP7D_CI1,,,1180.0,,,0.0
LES.PP30D_NC1,LES,PP30D_NC1,,,1008.7376370510397,,,34.0
LI.PP7D_UNIVERSE,LI,PP7D_UNIVERSE,,,2104.7043647021546,,,676.0
LIT.PP7D_NC2,LIT,PP7D_NC2,,,13529.11,,,0.0
LOG.PP7D_NC1,LOG,PP7D_NC1,,,68476.04445652173,,,13.0
LTA.PP7D_CI2,LTA,PP7D_CI2,,,3800.0,,,0.0
SAL.PP7D_NC2,SAL,PP7D_NC2,,,3395.0,,,0.0
LTA.PP30D_NC2,LTA,PP30D_NC2,,,3800.0,,,0.0
SCB.PP30D_CI2,SCB,PP30D_CI2,,,54548.38,,,0.0
SCN.PP7D_NC1,SCN,PP7D_NC1,,,2409.9063323076925,,,232.0
SCR.PP7D_NC2,SCR,PP7D_NC2,,,150.0,,,0.0
SDR.PP7D_AI1,SDR,PP7D_AI1,,,100000.0,,,6.0
ADR.PP30D_NC1,ADR,PP30D_NC1,,,82000.0,,,0.0
SEA.PP7D_CI2,SEA,PP7D_CI2,,,120.0,,,0.0
AEF.PP7D_CI1,AEF,PP7D_CI1,,,4769.126656534954,,,47.0
SFE.PP7D_IC1,SFE,PP7D_IC1,,,56416.67,,,0.0
AFP.PP7D_AI1,AFP,PP7D_AI1,,,134241.84,,,0.0
AGS.PP7D_CI1,AGS,PP7D_CI1,,,476828.125,,,1.0
SNM.PP30D_IC1,SNM,PP30D_IC1,,,104595.205,,,1.0
AGS.PP7D_NC1,AGS,PP7D_NC1,,,579807.29,,,1.0
MCG.PP7D_NC2,MCG,PP7D_NC2,,,38.0,,,0.0
SP.PP7D_AI1,SP,PP7D_AI1,,,2520.2287612612613,,,761.0
AFR.PP7D_AI1,AFR,PP7D_AI1,,,21781.583199999997,,,14.0
STR.PP30D_UNIVERSE,STR,PP30D_UNIVERSE,,,2520.9641641611547,,,27.0
MFE.PP30D_NC1,MFE,PP30D_NC1,,,91816.20388888888,,,1.0
SU.PP7D_IC1,SU,PP7D_IC1,,,110719.97,,,0.0
SWF.PP7D_NC2,SWF,PP7D_NC2,,,110.0,,,0.0
ALO.PP7D_CI2,ALO,PP7D_CI2,,,200.0,,,0.0
ATA.PP30D_NC1,ATA,PP30D_NC1,,,25633.44076056338,,,92.0
TCB.PP7D_AI1,TCB,PP7D_AI1,,,19000.0,,,0.0
TCO.PP30D_NC1,TCO,PP30D_NC1,,,768.8575000000001,,,0.0
BDE.PP7D_IC1,BDE,PP7D_IC1,,,2653.7398096611387,,,991.0
MHL.PP7D_UNIVERSE,MHL,PP7D_UNIVERSE,,,5174.253034455756,,,182.0
TCS.PP30D_NC2,TCS,PP30D_NC2,,,2600.0,,,0.0
VSC.PP30D_AI1,VSC,PP30D_AI1,,,31000.0,,,0.0
VSC.PP7D_CI2,VSC,PP7D_CI2,,,16535.43,,,0.0
MTC.PP30D_CI2,MTC,PP30D_CI2,,,446.29,,,0.0
NA.PP30D_NC2,NA,PP30D_NC2,,,1.0,,,0.0
VOR.PP7D_CI2,VOR,PP7D_CI2,,,2518066.5,,,0.0
WIN.PP30D_IC1,WIN,PP30D_IC1,,,6039.839592760182,,,36.0
NAB.PP30D_CI1,NAB,PP30D_CI1,,,117.72689798734358,,,1356.0
NF.PP7D_UNIVERSE,NF,PP7D_UNIVERSE,,,0.0,,,0.0
NV1.PP30D_CI2,NV1,PP30D_CI2,,,93389.11,,,0.0
NV1.PP30D_IC1,NV1,PP30D_IC1,,,135000.0,,,1.0
OFF.PP30D_CI1,OFF,PP30D_CI1,,,103.12450641598802,,,1335.0
OFF.PP30D_IC1,OFF,PP30D_IC1,,,89.60216059238552,,,5354.0
BFP.PP30D_CI2,BFP,PP30D_CI2,,,20224.42,,,0.0
BFR.PP7D_CI2,BFR,PP7D_CI2,,,2515.22,,,0.0
OFF.PP30D_NC2,OFF,PP30D_NC2,,,100.0,,,0.0
PCB.PP30D_AI1,PCB,PP30D_AI1,,,2441.1987719909425,,,1667.0
BFR.PP30D_NC2,BFR,PP30D_NC2,,,2515.22,,,0.0
BGS.PP7D_CI1,BGS,PP7D_CI1,,,199000.0,,,0.0
BID.PP30D_AI1,BID,PP30D_AI1,,,109548.6125,,,1.0
PK.PP30D_UNIVERSE,PK,PP30D_UNIVERSE,,,1095.6106451612902,,,0.0
BL.PP30D_NC2,BL,PP30D_NC2,,,2975.58,,,0.0
PSH.PP7D_IC1,PSH,PP7D_IC1,,,9500.0,,,0.0
BMF.PP30D_IC1,BMF,PP30D_IC1,,,32927.34683544304,,,3.0
BND.PP30D_NC2,BND,PP30D_NC2,,,500.0,,,0.0
CBS.PP30D_NC2,CBS,PP30D_NC2,,,17911.1,,,0.0
CHA.PP7D_NC2,CHA,PP7D_NC2,,,20987.95,,,0.0
EPO.PP30D_CI1,EPO,PP30D_CI1,,,170.90103072723454,,,20739.0
FAN.PP30D_CI1,FAN,PP30D_CI1,,,2100.0,,,9.0
PSM.PP7D_AI1,PSM,PP7D_AI1,,,2443.5548780487807,,,12.0
FLO.PP7D_CI1,FLO,PP7D_CI1,,,27500.0,,,0.0
GC.PP7D_UNIVERSE,GC,PP7D_UNIVERSE,,,320.58814515093127,,,278.0
GCH.PP30D_CI1,GCH,PP30D_CI1,,,20000.0,,,0.0
GNZ.PP30D_CI1,GNZ,PP30D_CI1,,,45000.0,,,0.0
PT.PP30D_UNIVERSE,PT,PP30D_UNIVERSE,,,538.6123379343904,,,1359.0
